GROUP	Trophic_Level	Omnivory_Index	P_anomaly	P_anomaly2
Birds	4.01632	0.177650	-9999.00	-9999.00
Cetaceans	4.44949	0.118236	-9999.00	-9999.00
Crayfish	3.24962	0.256774	-9999.00	-9999.00
Crabs	2.77554	0.316922	-9999.00	-9999.00
Seastars	2.35178	0.327022	-9999.00	-9999.00
Urchins	2.05865	0.0627369	-9999.00	-9999.00
Gastropods_carn	3.21631	0.0680309	-9999.00	-9999.00
Gastropods_graz	2.00148	0.00218432	-9999.00	-9999.00
Sea_cucumbers	2.66040	0.224939	-9999.00	-9999.00
Bivalves	2.21131	0.203646	-9999.00	-9999.00
Sponges	2.11920	0.126937	-9999.00	-9999.00
Encrusting	2.47868	0.335954	-9999.00	-9999.00
Macrobenthos	2.00100	0.00100102	-9999.00	-9999.00
Meiobenthos	2.00101	0.00101010	-9999.00	-9999.00
Snapper	3.41032	0.203827	-9999.00	-9999.00
Jack_mackerels	3.67691	0.0529154	-9999.00	-9999.00
Blue_mackerel	3.72306	0.00260789	-9999.00	-9999.00
Gurnard	3.31703	0.184945	-9999.00	-9999.00
Leatherjacket	3.09959	0.215292	-9999.00	-9999.00
Tarakihi	3.39358	0.147981	-9999.00	-9999.00
Kahawai	3.85797	0.222437	-9999.00	-9999.00
Rig	3.24714	0.130060	-9999.00	-9999.00
Flatfish	3.32117	0.142220	-9999.00	-9999.00
Trevally	3.36329	0.138852	-9999.00	-9999.00
Barracouta	3.92773	0.210572	-9999.00	-9999.00
Skipjack	4.39258	0.292173	-9999.00	-9999.00
Reef_fish_large	3.49489	0.559785	-9999.00	-9999.00
Reef_fish_small	3.56925	0.226880	-9999.00	-9999.00
Demersal_fish	3.67718	0.576988	-9999.00	-9999.00
Sharks	4.19112	0.334514	-9999.00	-9999.00
Pelagic_fish_large	3.63308	0.360776	-9999.00	-9999.00
Pelagic_fish_small	3.51213	0.316028	-9999.00	-9999.00
Squid	3.97426	0.107070	-9999.00	-9999.00
Octopus	3.53147	0.202218	-9999.00	-9999.00
Gelatinous	2.76290	0.409620	-9999.00	-9999.00
Macrozoo	2.92601	0.685213	-9999.00	-9999.00
Mesozoo	2.71021	0.539793	-9999.00	-9999.00
Microzoo	2.16888	0.171453	-9999.00	-9999.00
Nanozoo	2.18412	0.184118	-9999.00	-9999.00
Phytoplankton	1.00000	0.000000	-9999.00	-9999.00
Macroalgae	1.00000	0.000000	-9999.00	-9999.00
Mangrove_seagrass	1.00000	0.000000	-9999.00	-9999.00
Microphtyes	1.00000	0.000000	-9999.00	-9999.00
Bacteria_water	1.00000	1.00000	-9999.00	-9999.00
Bacteria_benthic	1.00000	1.00424	-9999.00	-9999.00
Carcasses	2.29060	1.12832	-9999.00	-9999.00
Detritus_water	1.00000	0.000000	-9999.00	-9999.00
Detritus_benthic	1.00000	0.000000	-9999.00	-9999.00
