Group	type	B	P/B	Q/B	EE	P/Q	Accum	Export	Fishery	Unassimilated	Seasonal_TP	Spawn_TP	Growth_TP	Detritus_fate	Carcass_fate	Seasonal_fate	Spawn_fate	Growth_fate
Birds	0.00000000	0.0023940307	0.25853128	115.99687	0.33352563	0.0022287781	0.00000000	0.33352563	0.00000000	0.30000001	0.00000000	0.00000000	0.00000000	47.000000	46.000000	0.00000000	0.00000000	0.00000000
Cetaceans	0.00000000	0.0017371686	0.052637007	9.2298549	0.099745997	0.0057029073	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	0.00000000	0.00000000	47.000000	46.000000	0.00000000	0.00000000	0.00000000
Crayfish	0.00000000	0.0065873539	1.1890325	6.5657153	0.94782903	0.18109717	0.00000000	0.24445288	0.0015378010	0.30000001	0.00000000	0.056682620	0.00000000	48.000000	46.000000	0.00000000	37.000000	0.00000000
Crabs	0.00000000	0.32882588	3.0549832	11.074785	1.0000000	0.27585036	0.00000000	0.41967395	0.00037880699	0.30000001	0.00000000	0.047791474	0.00000000	48.000000	46.000000	0.00000000	37.000000	0.00000000
Seastars	0.00000000	0.19692911	1.3760172	5.3770745	0.97299318	0.25590443	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.58844113	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Urchins	0.00000000	0.15886981	0.84611446	5.6383152	0.97171607	0.15006512	0.00000000	0.22158583	0.00052926200	0.30000001	0.00000000	0.53614247	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Gastropods_carn	0.00000000	0.35385917	1.5436573	4.9255568	0.97186305	0.31339752	0.00000000	0.42787182	4.2986900e-007	0.30000001	0.00000000	0.14165236	0.00000000	48.000000	46.000000	0.00000000	37.000000	0.00000000
Gastropods_graz	0.00000000	0.50789692	3.5308190	19.014278	0.95520394	0.18569303	0.00000000	0.41974145	0.00078472000	0.30000001	0.00000000	0.18463768	0.00000000	48.000000	46.000000	0.00000000	37.000000	0.00000000
Sea_cucumbers	0.00000000	0.80199481	0.41358254	2.0554608	0.20658299	0.20121159	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.10000000	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Bivalves	0.00000000	1.6333606	5.7313444	28.934809	0.93226350	0.19807784	0.00000000	0.73068976	0.032029286	0.20000000	0.00000000	0.030979851	0.00000000	48.000000	46.000000	0.00000000	37.000000	0.00000000
Sponges	0.00000000	0.53709374	0.19759046	0.79039574	0.94734966	0.24998927	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.10000000	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Encrusting	0.00000000	0.22282822	3.3972363	13.602300	0.83129255	0.24975454	0.00000000	0.51779789	0.00000000	0.30000001	0.00000000	0.073574111	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Macrobenthos	0.00000000	0.44117156	6.6538133	27.240548	0.98617133	0.24426136	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.10000000	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Meiobenthos	0.00000000	0.16463404	8.1070518	26.073515	0.97303452	0.31093053	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.10000000	0.00000000	48.000000	48.000000	0.00000000	37.000000	0.00000000
Snapper	0.00000000	0.22231331	0.41777797	4.3029759	0.92786049	0.097090475	0.00000000	0.00000000	0.026363635	0.27000001	0.00000000	0.14520909	-0.014299625	47.000000	46.000000	0.00000000	37.000000	32.000000
Jack_mackerels	0.00000000	0.16815666	0.50703092	4.6328891	0.91743147	0.10944163	0.00000000	0.00000000	0.017423419	0.27000001	0.00000000	0.12077242	-0.038373750	47.000000	46.000000	0.00000000	37.000000	32.000000
Blue_mackerel	0.00000000	0.16064311	0.44626666	4.5350075	0.93338874	0.098404834	0.00000000	0.00000000	0.012486413	0.27000001	0.00000000	0.14559311	-0.023051880	47.000000	46.000000	0.00000000	37.000000	32.000000
Gurnard	0.00000000	0.083155254	0.52791072	4.5762382	0.85656172	0.11535910	0.00000000	0.00000000	0.0019266300	0.27000001	0.00000000	0.11701500	-0.090003386	47.000000	46.000000	0.00000000	13.000000	32.000000
Leatherjacket	0.00000000	0.020019988	0.44044836	4.4035165	0.92366830	0.10002196	0.00000000	0.00000000	0.00072628498	0.27000001	0.00000000	0.14914718	-0.026210377	47.000000	46.000000	0.00000000	13.000000	32.000000
Tarakihi	0.00000000	0.035837881	0.36960244	4.4732095	0.78417276	0.082625784	0.00000000	0.00000000	0.0017119570	0.27000001	0.00000000	0.15321042	-0.0093927309	47.000000	46.000000	0.00000000	37.000000	32.000000
Kahawai	0.00000000	0.033382279	0.38185410	4.7602146	0.76934611	0.080217834	0.00000000	0.00000000	0.0036697129	0.27000001	0.00000000	0.16377671	-0.017553393	47.000000	46.000000	0.00000000	37.000000	32.000000
Rig	0.00000000	0.019470214	0.29954089	2.9107287	0.72776842	0.10290924	0.00000000	0.00000000	0.00037796400	0.27000001	0.00000000	0.20542188	-0.0086414944	47.000000	46.000000	0.00000000	32.000000	32.000000
Flatfish	0.00000000	0.019365641	0.45180294	3.9807425	0.86965457	0.11349715	0.00000000	0.00000000	0.0023110181	0.27000001	0.00000000	0.13734058	-0.10574939	47.000000	46.000000	0.00000000	13.000000	32.000000
Trevally	0.00000000	0.016247430	0.39007847	4.7696664	0.84536321	0.081783176	0.00000000	0.00000000	0.0020881919	0.27000001	0.00000000	0.16188404	-0.013659296	47.000000	46.000000	0.00000000	37.000000	32.000000
Barracouta	0.00000000	0.013944585	0.36082201	3.7592346	0.94174794	0.095982837	0.00000000	0.00000000	0.00046813200	0.27000001	0.00000000	0.18155144	-0.014490266	47.000000	46.000000	0.00000000	37.000000	32.000000
Skipjack	0.00000000	0.012699641	0.25228505	3.7715990	0.96521613	0.066890741	0.00000000	0.00000000	0.0011931820	0.27000001	0.00000000	0.26252908	-0.0072491830	47.000000	46.000000	0.00000000	37.000000	32.000000
Reef_fish_large	0.00000000	0.093623465	0.44065180	5.1568071	0.94251378	0.085450510	0.00000000	0.00000000	0.0023808051	0.27000001	0.00000000	0.14768416	-0.049616586	47.000000	46.000000	0.00000000	13.000000	28.000000
Reef_fish_small	0.00000000	0.0063644620	0.90099295	7.4305810	0.94949027	0.12125471	0.00000000	0.00000000	2.0998001e-005	0.27000001	0.00000000	0.072757073	-0.29141441	47.000000	46.000000	0.00000000	13.000000	32.000000
Demersal_fish	0.00000000	0.038445831	0.39588657	4.3126546	0.92761541	0.091796494	0.00000000	0.00000000	0.0017527170	0.27000001	0.00000000	0.16494954	-0.041516326	47.000000	46.000000	0.00000000	37.000000	32.000000
Sharks	0.00000000	0.012168084	0.19727062	2.6482241	0.73451463	0.074491663	0.00000000	0.00000000	0.00060585502	0.27000001	0.00000000	0.25657287	-0.0047886609	47.000000	46.000000	0.00000000	32.000000	32.000000
Pelagic_fish_large	0.00000000	0.024816924	0.41217626	5.5469793	0.93985060	0.074306435	0.00000000	0.00000000	0.00057065202	0.27000001	0.00000000	0.15833609	-0.060273163	47.000000	46.000000	0.00000000	37.000000	32.000000
Pelagic_fish_small	0.00000000	0.087623082	1.8131140	11.217901	0.96878553	0.16162686	0.00000000	0.00000000	0.0031262350	0.27000001	0.00000000	0.0074337139	0.00000000	47.000000	46.000000	0.00000000	37.000000	0.00000000
Squid	0.00000000	0.020548509	2.6767208	10.708103	0.99439860	0.24997151	0.00000000	0.00000000	0.00013695699	0.12660265	0.00000000	0.071976721	0.00000000	47.000000	46.000000	0.00000000	37.000000	0.00000000
Octopus	0.00000000	0.012044094	4.3765013	10.286884	0.98018519	0.42544480	0.00000000	0.00000000	3.6314199e-005	0.11725342	0.00000000	0.039526246	0.00000000	47.000000	46.000000	0.00000000	37.000000	0.00000000
Gelatinous	0.00000000	0.025843127	10.653910	36.740300	0.96708617	0.28997885	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Macrozoo	0.00000000	0.076200208	6.9945430	23.325260	0.94845154	0.29986989	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Mesozoo	0.00000000	0.40775211	24.935541	83.434027	0.93636446	0.29886536	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Microzoo	0.00000000	0.12176985	76.609559	255.65109	0.95048053	0.29966451	0.00000000	0.00000000	0.00000000	0.30000001	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Nanozoo	0.00000000	0.19224636	160.82249	461.52932	0.93935928	0.34845563	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Phytoplankton	1.0000000	0.92117296	177.95641	0.00000000	0.79870318	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Macroalgae	1.0000000	2.8809041	5.1933350	0.00000000	0.60573273	0.00000000	0.00000000	0.25000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Mangrove_seagrass	1.0000000	8.7371765	0.16644088	0.00000000	0.50561902	0.00000000	0.24029115	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Microphtyes	1.0000000	0.26393601	21.294148	0.00000000	0.77112168	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Bacteria_water	0.00000000	0.40552058	68.790732	143.27519	0.69099234	0.48013012	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	47.000000	47.000000	0.00000000	0.00000000	0.00000000
Bacteria_benthic	0.00000000	1.5114378	8.9325781	21.443771	0.71943879	0.41655818	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	48.000000	48.000000	0.00000000	0.00000000	0.00000000
Carcasses	2.0000000	0.00000000	0.00000000	0.00000000	1.0000000	0.00000000	0.00000000	-0.00086374697	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Detritus_water	2.0000000	0.00000000	0.00000000	0.00000000	1.0000000	0.00000000	0.00000000	-0.0048487359	0.00000000	0.00000000	0.28397926	0.00000000	0.00000000	0.00000000	0.00000000	48.000000	0.00000000	0.00000000
Detritus_benthic	2.0000000	0.00000000	0.00000000	0.00000000	1.0000000	0.00000000	0.15248430	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
